"Infiltrado",3,2021-04-22
"O Exterminador do Futuro: Gênesis",2,2015-06-23
"Boyka: O Imbatível",3,2016-08-01
"Raya e o Último Dragão",3,2021-03-03
"Exorcismo Sagrado",3,2022-03-11
"Demon Slayer: Kimetsu no Yaiba - Castelo Infinito",1,0000-00-00
"Besouro Azul",3,2023-08-16
"Hotel Transilvânia: Transformonstrão",3,2022-01-31
"O Poderoso Chefão: Parte II",4,1974-12-20
"Frozen 2",3,2019-11-20
"Matrix",4,1999-03-31
"Em Ruínas",3,2024-01-25
"Como Sobreviver a um Ataque Zumbi",3,2015-10-23
"金瓶風月",2,1991-05-09
"Invasão Zumbi",3,2016-07-20
"Medidas Extremas",2,2022-01-18
"Os Bons Companheiros",4,1990-09-12
"A Saga Crepúsculo: Eclipse",3,2010-06-23
"O Pacto",3,2023-04-19
"Esquadrão Suicida",2,2016-08-03
"A Saga Crepúsculo: Amanhecer - Parte 1",3,2011-11-16
"Um Lugar Silencioso - Parte II",3,2021-05-21
"Cruella",4,2021-05-26
"Apocalypto",3,2006-12-07
"Planeta dos Macacos: A Guerra",3,2017-07-11
"Moana",1,2026-07-09
"X-Men: Apocalipse",3,2016-05-18
"Uma Prova de Coragem",3,2024-03-15
"One Piece: Red",3,2022-08-06
"Meu Filho, Nosso Mundo",3,2024-05-30
"Inatividade Paranormal 2",3,2014-04-17
"John Wick 3: Parabellum",3,2019-05-15
"Pica-Pau: As Férias no Acampamento",3,2024-04-12
"O Encontro de Carl",3,2023-06-15
"O Exterminador do Futuro",3,1984-10-26
"A Guerra do Amanhã",3,2021-09-03
"Sensual Massage: The Touch Of Love",2,1980-01-01
"Homem de Ferro 3",3,2013-04-18
"Avatar",3,2009-12-15
"Uma Prova de Coragem",3,2024-03-15
"Liga da Justiça",3,2017-11-15
"O Conde de Monte Cristo",4,2024-06-28
"Pixels",2,2015-07-16
"Matrix",4,1999-03-31
"Creed III",3,2023-03-01
"Batman: O Cavaleiro das Trevas Ressurge",3,2012-07-17
"Wicked",1,2024-11-20
"Pânico",3,1996-12-20
"Rivais",3,2024-04-18
"O Exterminador do Futuro: Gênesis",2,2015-06-23
"Três Homens em Conflito",4,1966-12-22
"Diário de uma Paixão",3,2004-06-25
"Exhuma",3,2024-02-22
"Pantera Negra",3,2018-02-13
"Sing 2",3,2021-12-01
"Uma Linda Mulher",3,1990-03-23
"After",3,2019-04-11
"Mamífera",3,2024-04-26
"Boyka: O Imbatível",3,2016-08-01
"Throuple",1,2024-09-06
"田中瞳 爆乳Jの衝撃",3,2007-11-08
"A Jovem e o Mar",3,2024-05-31
"O Protetor 2",3,2018-07-19
"Salitan",1,2024-02-16
"Lift: Roubo nas Alturas",3,2024-01-10
